action,priority,surface,in_use,issue,key,file,current_en,suggested_en,new_en,current_fr,new_fr,current_de,new_de,current_es,new_es,current_ja,new_ja,current_zh-TW,new_zh-TW,current_zh-CN,new_zh-CN,current_pt,new_pt,current_nl,new_nl,current_sv,new_sv,current_it,new_it,current_uk,new_uk,current_ru,new_ru,current_ko,new_ko,current_tr,new_tr,notes
rewrite,P2,other,no,needs-rewrite|title-case|awkward-phrasing,Advance Setting,public/locales/{code}/translation.json,Advance Setting,Advanced settings,Advanced settings,Paramètres avancés,Paramètres avancés,Erweiterte Einstellung,Erweiterte Einstellungen,Configuración avanzada,Configuración avanzada,詳細設定,詳細設定,提前設定,進階設定,高级设置,高级设置,Definições avançadas,Definições avançadas,Geavanceerde instellingen,Geavanceerde instellingen,Avancerade inställningar,Avancerade inställningar,Impostazioni avanzate,Impostazioni avanzate,Розширені налаштування,Розширені налаштування,Дополнительные настройки,Расширенные настройки,고급 설정,고급 설정,Gelişmiş ayar,Gelişmiş ayarlar,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,And More,public/locales/{code}/translation.json,And More,And more,And more,Et plus,Et plus encore,Und mehr,Und mehr,Y más,Y más,その他,その他,以及更多,以及更多,以及更多,以及更多,E mais,E mais,En meer,En meer,Och mer,Och mer,E altro ancora,E altro ancora,І більше,І більше,И многое другое,И многое другое,그리고 더 많은 것,그리고 더 많은 것,Ve Daha Fazlası,Ve Daha Fazlası,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Automotive Parts,public/locales/{code}/translation.json,Automotive Parts,Automotive parts,Automotive parts,Pièces automobiles,Pièces automobiles,Autoteile,Autoteile,Repuestos automotrices,Piezas de automóvil,自動車部品,自動車部品,汽車零件,汽車零件,汽车配件,汽车配件,Peças automóveis,Peças automóveis,Auto-onderdelen,Auto-onderdelen,Bildelar,Bildelar,Ricambi auto,Ricambi auto,Автомобільні запчастини,Автомобільні запчастини,Запасные части к автомобилям,Запасные части к автомобилям,자동차 부품,자동차 부품,Otomotiv parçaları,Otomotiv parçaları,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Baby & Toddler Products,public/locales/{code}/translation.json,Baby & Toddler Products,Baby & toddler products,Baby & toddler products,Produits pour bébés et jeunes enfants,Produits pour bébés et tout-petits,Baby- & Kleinkindprodukte,Baby- und Kleinkindprodukte,Productos para bebés y niños pequeños,Productos para bebés y niños pequeños,ベビー・幼児用品,ベビー・幼児用品,嬰幼兒產品,嬰幼兒產品,婴儿用品,婴儿用品,Produtos para bebés e crianças,Produtos para bebés e crianças,Baby- en peuterproducten,Baby- en peuterproducten,Produkter för baby och småbarn,Produkter för baby och småbarn,Prodotti per neonati e bambini,Prodotti per neonati e bambini,Товари для немовлят та малюків,Товари для немовлят та малюків,Товары для младенцев и детей ясельного возраста,Товары для младенцев и детей ясельного возраста,유아용품,유아용품,Bebek ve çocuk ürünleri,Bebek ve çocuk ürünleri,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Bad Gateway,public/locales/{code}/translation.json,Bad Gateway,Bad gateway,Bad gateway,Passerelle incorrecte,Passerelle incorrecte,Fehlerhaftes Gateway,Bad Gateway,Puerta de enlace incorrecta,Puerta de enlace incorrecta,不正なゲートウェイ,Bad Gateway,壞網關,壞網關,网关错误,网关错误,Bad Gateway,Bad Gateway,Slechte gateway,Slechte gateway,Felaktig gateway,Felaktig gateway,Bad Gateway,Bad Gateway,Поганий шлюз,Поганий шлюз,Плохой Шлюз,Плохой Шлюз,배드 게이트웨이,배드 게이트웨이,Hatalı ağ geçidi,Hatalı ağ geçidi,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Bad Request,public/locales/{code}/translation.json,Bad Request,Bad request,Bad request,Requête incorrecte,Requête incorrecte,Fehlerhafte Anfrage,Bad Request,Solicitud incorrecta,Solicitud incorrecta,不正なリクエスト,Bad Request,錯誤的請求,錯誤的請求,错误请求,错误请求,Pedido inválido,Pedido inválido,Ongeldig verzoek,Ongeldig verzoek,Felaktig begäran,Felaktig begäran,Richiesta non valida,Richiesta non valida,Поганий запит,Поганий запит,Неправильный запрос.,Неправильный запрос.,잘못된 요청,잘못된 요청,Hatalı istek,Hatalı istek,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Beauty & Personal Care,public/locales/{code}/translation.json,Beauty & Personal Care,Beauty & personal care,Beauty & personal care,Beauté et soins personnels,Beauté et soins personnels,Schönheit & Körperpflege,Beauty & Körperpflege,Belleza y cuidado personal,Belleza y cuidado personal,美容・パーソナルケア,美容・パーソナルケア,美容與個人護理,美容與個人護理,美容护理,美容护理,Beleza e cuidados pessoais,Beleza e cuidados pessoais,Schoonheid en persoonlijke verzorging,Schoonheid en persoonlijke verzorging,Skönhet och personvård,Skönhet och personvård,Bellezza e cura personale,Bellezza e cura personale,Краса та особистий догляд,Краса та особистий догляд,Красота и уход,Красота и уход,뷰티 & 퍼스널 케어,뷰티 & 퍼스널 케어,Güzellik ve kişisel bakım,Güzellik ve kişisel bakım,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite,Button Color:,public/locales/{code}/translation.json,Button Text Color:,Button text color,Button text color,Couleur du texte du bouton :,Couleur du texte du bouton,Button-Textfarbe:,Textfarbe der Schaltfläche,Color del texto del botón:,Color del texto del botón,ボタンテキストの色：,ボタンのテキスト色,按鈕文字顏色：,按鈕文字顏色：,按钮颜色：,按钮颜色：,Cor do texto do botão:,Cor do texto do botão:,Knoptekstkleur:,Knoptekstkleur:,Knapptextfärg:,Knapptextfärg:,Colore testo pulsante:,Colore testo pulsante:,Колір тексту кнопки:,Колір тексту кнопки:,Цвет текста кнопки:,Цвет текста кнопки:,버튼 텍스트 색상:,버튼 텍스트 색상:,Düğme metin rengi:,Düğme metin rengi:,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case|grammar-or-jargon,Buy Credit,public/locales/{code}/translation.json,Buy Credit,Buy credits,Buy credits,Acheter des crédits,Acheter des crédits,Guthaben kaufen,Credits kaufen,Comprar crédito,Comprar créditos,クレジットを購入,クレジットを購入,購買點數,購買積分,购买积分,购买积分,Comprar crédito,Comprar créditos,Koop krediet,Credits kopen,Köp kredit,Köp krediter,Acquista credito,Acquista crediti,Купити кредит,Купити кредити,Купить кредит,Купить кредиты,크레딧 구매,크레딧 구매,Kredi al,Kredi satın al,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|awkward-phrasing,Can't find the language you want to translate into? Click here to add a language.,public/locales/{code}/translation.json,Can't find your language?->Add One,Can't find your language? Add one,Can't find your language? Add one,Vous ne trouvez pas votre langue ?->Ajoutez-en une,Vous ne trouvez pas votre langue ? Ajoutez-en une,Können Sie Ihre Sprache nicht finden?->Eine hinzufügen,Ihre Sprache ist nicht dabei? Fügen Sie eine hinzu,¿No encuentra su idioma?->Agregar uno,¿No encuentras tu idioma? Añade uno,言語が見つかりませんか？→追加,言語が見つかりませんか？追加してください,找不到您的語言？ ->新增一個,找不到您的語言？新增一種,找不到您想要翻译的语言？点击这里添加语言。,找不到您的语言？添加一种,Não encontra o seu idioma?->Adicione um,Não encontra o seu idioma? Adicione um,Kunt u uw taal niet vinden?->Voeg er een toe,Kun je je taal niet vinden? Voeg er een toe,Hittar du inte ditt språk?->Lägg till ett,Hittar du inte ditt språk? Lägg till ett,Non trovi la tua lingua?->Aggiungine una,Non trovi la tua lingua? Aggiungine una,"Не можете знайти мову для перекладу? Натисніть тут, щоб додати мову.",Не можете знайти свою мову? Додайте її,Не можете найти свой язык?->Добавить один,Не можете найти свой язык? Добавьте его,원하는 언어를 찾을 수 없나요?-> 추가하기,원하는 언어를 찾을 수 없나요? 하나 추가하세요,Dilinizi bulamıyor musunuz?->Bir tane ekleyin,Dilinizi bulamıyor musunuz? Bir tane ekleyin,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,Character Limit Reached,public/locales/{code}/translation.json,Character Limit Reached,Character limit reached,Character limit reached,Limite de caractères atteinte,Limite de caractères atteinte,Zeichenlimit erreicht,Zeichenlimit erreicht,Límite de caracteres alcanzado,Límite de caracteres alcanzado,文字数制限に達しました,文字数制限に達しました,已達到字元限制,已達到字元限制,字符限制已达,字符限制已达,Limite de caracteres atingido,Limite de caracteres atingido,Tekenlimiet bereikt,Tekenlimiet bereikt,Teckengräns uppnådd,Teckengräns uppnådd,Limite di caratteri raggiunto,Limite di caratteri raggiunto,Досягнуто ліміт символів,Досягнуто ліміт символів,Достигнуто максимальное число символов.,Достигнуто максимальное число символов.,문자 제한에 도달했습니다,문자 제한에 도달했습니다,Karakter sınırına ulaşıldı,Karakter sınırına ulaşıldı,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Ciwi Help Center,public/locales/{code}/translation.json,Ciwi Help Center,Ciwi help center,Ciwi help center,Centre d'aide Ciwi,Centre d’aide Ciwi,Ciwi Hilfe-Center,Ciwi-Hilfezentrum,Centro de ayuda de Ciwi,Centro de ayuda de Ciwi,Ciwi ヘルプセンター,Ciwiヘルプセンター,Ciwi幫助中心,Ciwi幫助中心,Ciwi帮助中心,Ciwi帮助中心,Centro de Ajuda Ciwi,Centro de Ajuda Ciwi,Ciwi Helpcentrum,Ciwi Helpcentrum,Ciwi Hjälpcenter,Ciwi Hjälpcenter,Centro assistenza Ciwi,Centro assistenza Ciwi,Центр допомоги Ciwi,Центр допомоги Ciwi,Центр помощи,Центр помощи,Ciwi 도움말 센터,Ciwi 도움말 센터,Ciwi Yardım Merkezi,Ciwi Yardım Merkezi,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,Configure Redirect Rule,public/locales/{code}/translation.json,Configure Redirect Rule,Configure redirect rule,Configure redirect rule,Configurer la règle de redirection,Configurer la règle de redirection,Weiterleitungsregel konfigurieren,Weiterleitungsregel konfigurieren,Configurar regla de redirección,Configurar regla de redirección,リダイレクトルールを設定,リダイレクトルールを設定,設置重定向規則,設置重定向規則,配置重定向规则,配置重定向规则,Configurar regra de redirecionamento,Configurar regra de redirecionamento,Configureer doorverwijsregel,Configureer doorverwijsregel,Konfigurera omdirigeringsregel,Konfigurera omdirigeringsregel,Configura la regola di reindirizzamento,Configura la regola di reindirizzamento,Налаштувати правило перенаправлення,Налаштувати правило перенаправлення,Настроить правило редиректа,Настроить правило редиректа,리디렉션 규칙 설정,리디렉션 규칙 설정,Yönlendirme Kuralını Yapılandır,Yönlendirme Kuralını Yapılandır,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|missing-space,Configure region-specific redirects for your visitors.Need more regions? Add them in your,public/locales/{code}/translation.json,Configure region-specific redirects for your visitors.Need more regions? Add them in your,Configure region-specific redirects for your visitors. Need more regions? Add them in your,Configure region-specific redirects for your visitors. Need more regions? Add them in your,Configurez des redirections par région pour vos visiteurs. Besoin de plus de régions ? Ajoutez-les dans votre,Configurez des redirections spécifiques à chaque région pour vos visiteurs. Besoin de plus de régions ? Ajoutez-les dans votre,Konfigurieren Sie regionsspezifische Weiterleitungen für Ihre Besucher. Weitere Regionen benötigt? Fügen Sie sie in Ihrem,Konfigurieren Sie regionsspezifische Weiterleitungen für Ihre Besucher. Benötigen Sie weitere Regionen? Fügen Sie sie in Ihrem,Configure redirecciones por región para sus visitantes. ¿Necesita más regiones? Añádalas en su,Configura redirecciones específicas por región para tus visitantes. ¿Necesitas más regiones? Añádelas en tu,訪問者向けに地域別のリダイレクトを設定します。地域を追加したい場合は、,訪問者向けに地域別のリダイレクトを設定します。さらに地域が必要ですか？次の場所で追加してください：,為您的訪客設定地區專屬的轉址。需要更多地區嗎？請在您的,為您的訪客設定地區專屬的轉址。需要更多地區嗎？請在您的,为您的访客配置地区特定的重定向。需要更多地区吗？在您的,为您的访客配置地区特定的重定向。需要更多地区吗？在您的,Configure redirecionamentos específicos por região para os seus visitantes. Precisa de mais regiões? Adicione-as no seu,Configure redirecionamentos específicos por região para os seus visitantes. Precisa de mais regiões? Adicione-as no seu,Configureer regiospecifieke omleidingen voor uw bezoekers. Meer regio's nodig? Voeg ze toe in uw,Configureer regiospecifieke omleidingen voor uw bezoekers. Meer regio's nodig? Voeg ze toe in uw,Konfigurera regionspecifika omdirigeringar för dina besökare. Behöver du fler regioner? Lägg till dem i din,Konfigurera regionspecifika omdirigeringar för dina besökare. Behöver du fler regioner? Lägg till dem i din,Configura reindirizzamenti specifici per regione per i tuoi visitatori. Servono altre regioni? Aggiungile nel tuo,Configura reindirizzamenti specifici per regione per i tuoi visitatori. Servono altre regioni? Aggiungile nel tuo,Налаштуйте регіональні перенаправлення для відвідувачів. Потрібно більше регіонів? Додайте їх у своєму,Налаштуйте регіональні перенаправлення для відвідувачів. Потрібно більше регіонів? Додайте їх у своєму,Настройте региональные перенаправления для посетителей. Нужно больше регионов? Добавьте их в,Настройте региональные перенаправления для посетителей. Нужно больше регионов? Добавьте их в,방문자를 위한 지역별 리디렉션을 설정하세요. 더 많은 지역이 필요하신가요? ,방문자를 위한 지역별 리디렉션을 설정하세요. 더 많은 지역이 필요하신가요?,Ziyaretçileriniz için bölgeye özel yönlendirmeler ayarlayın. Daha fazla bölgeye mi ihtiyacınız var? Bunları,Ziyaretçileriniz için bölgeye özel yönlendirmeler ayarlayın. Daha fazla bölgeye mi ihtiyacınız var? Bunları,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,Contact Support,public/locales/{code}/translation.json,Contact Support,Contact support,Contact support,Contacter le support,Contacter l’assistance,Support kontaktieren,Support kontaktieren,Contactar soporte,Contactar con soporte,サポートに連絡,サポートに問い合わせ,聯繫支持,聯繫支持,联系支持,联系支持,Contactar o suporte,Contactar o suporte,Contact opnemen met support,Contact opnemen met support,Kontakta support,Kontakta support,Contatta l'assistenza,Contatta l'assistenza,Зв'язатися з підтримкою,Зв'язатися з підтримкою,Связаться со службой поддержки,Связаться со службой поддержки,지원팀에 문의하세요,지원팀에 문의하세요,Destekle iletişime geç,Destekle iletişime geç,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,contact.contactButton,public/locales/{code}/translation.json,Contact Support,Contact support,Contact support,Contacter le support,Contacter l’assistance,Support kontaktieren,Support kontaktieren,Contactar soporte,Contactar con soporte,サポートに連絡,サポートに問い合わせ,聯繫支持,聯繫支持,联系支持,联系支持,Contactar o suporte,Contactar o suporte,Contact opnemen met support,Contact opnemen met support,Kontakta support,Kontakta support,Contatta l'assistenza,Contatta l'assistenza,Зв'язатися з підтримкою,Зв'язатися з підтримкою,Связаться со службой поддержки,Связаться со службой поддержки,지원팀에 문의하세요,지원팀에 문의하세요,Destekle iletişime geç,Destekle iletişime geç,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,contact.title,public/locales/{code}/translation.json,Contact Us,Contact us,Contact us,Nous contacter,Nous contacter,Kontaktieren Sie uns,Kontakt aufnehmen,Contáctenos,Contáctanos,お問い合わせ,お問い合わせ,聯絡我們,聯絡我們,联系我们,联系我们,Contacte-nos,Contacte-nos,Neem contact met ons op,Neem contact met ons op,Kontakta oss,Kontakta oss,Contattaci,Contattaci,Зв'язатися з нами,Зв'язатися з нами,Свяжитесь с нами,Свяжитесь с нами,문의하기,문의하기,Bize ulaşın,Bize ulaşın,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Crafts & Small Goods,public/locales/{code}/translation.json,Crafts & Small Goods,Crafts & small goods,Crafts & small goods,Artisanat et petits articles,Artisanat et petits articles,Handwerk & kleine Waren,Kunsthandwerk & Kleinwaren,Artesanía y productos pequeños,Artesanía y artículos pequeños,クラフト・雑貨,工芸品・小物,工藝品和小商品,工藝品和小商品,手工艺品,手工艺品,Artesanato e pequenos artigos,Artesanato e pequenos artigos,Handwerk en kleine artikelen,Handwerk en kleine artikelen,Hantverk och småvaror,Hantverk och småvaror,Artigianato e piccoli articoli,Artigianato e piccoli articoli,Ремесла та дрібні товари,Ремесла та дрібні товари,Ремесла и мелкие товары,Ремесла и мелкие товары,공예품 및 소품,공예품 및 소품,El sanatları ve küçük ürünler,El sanatları ve küçük ürünler,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,Customize Redirects by Region,public/locales/{code}/translation.json,Customize Redirects by Region,Customize redirects by region,Customize redirects by region,Personnaliser les redirections par région,Personnaliser les redirections par région,Weiterleitungen nach Region anpassen,Weiterleitungen nach Region anpassen,Personalizar redirecciones por región,Personalizar redirecciones por región,地域別にリダイレクトをカスタマイズ,地域別にリダイレクトをカスタマイズ,根據區域自訂重定向,根據區域自訂重定向,按地区自定义重定向,按地区自定义重定向,Personalizar redirecionamentos por região,Personalizar redirecionamentos por região,Pas doorverwijzingen per regio aan,Pas doorverwijzingen per regio aan,Anpassa omdirigeringar per region,Anpassa omdirigeringar per region,Personalizza i reindirizzamenti per regione,Personalizza i reindirizzamenti per regione,Налаштувати перенаправлення за регіонами,Налаштувати перенаправлення за регіонами,Настроить редиректы по регионам,Настроить редиректы по регионам,지역별 리디렉션 맞춤 설정,지역별 리디렉션 맞춤 설정,Bölgeye göre yönlendirmeleri özelleştir,Bölgeye göre yönlendirmeleri özelleştir,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite,dashboard.title2,public/locales/{code}/translation.json,Multi-Currency Settings,Multi-currency settings,Multi-currency settings,Paramètres multidevise,Paramètres multidevises,Multi-Währungs-Einstellungen,Mehrwährungseinstellungen,Configuración de múltiples monedas,Configuración multidivisa,多通貨設定,複数通貨設定,多幣種設置,多幣種設置,本地化货币,本地化货币,Definições multimoeda,Definições multimoeda,Meervoudige valuta-instellingen,Meervoudige valuta-instellingen,Inställningar för flera valutor,Inställningar för flera valutor,Impostazioni multivaluta,Impostazioni multivaluta,Налаштування мультивалют,Налаштування мультивалют,Импорт  настроек мультивалютности,Импорт  настроек мультивалютности,다중 통화 설정,다중 통화 설정,Çoklu para birimi ayarları,Çoklu para birimi ayarları,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite,dashboard.title3,public/locales/{code}/translation.json,Building in Progress,Building in progress,Building in progress,En cours de développement,En cours de construction,In Entwicklung,Im Aufbau,En desarrollo,En construcción,開発中,構築中,在建工程,在建工程,我们不断开发新功能,我们不断开发新功能,Em construção,Em construção,In ontwikkeling,In ontwikkeling,Under utveckling,Under utveckling,In costruzione,In costruzione,Розробка в процесі,Розробка в процесі,Идет постройка,Идет постройка,진행 중인 건물,진행 중인 건물,Geliştirme devam ediyor,Geliştirme devam ediyor,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Disable App,public/locales/{code}/translation.json,Disable App,Disable app,Disable app,Désactiver l'application,Désactiver l’application,App deaktivieren,App deaktivieren,Deshabilitar aplicación,Desactivar aplicación,アプリを無効化,アプリを無効化,禁用應用程式,禁用應用程式,禁用应用,禁用应用,Desativar aplicação,Desativar aplicação,App uitschakelen,App uitschakelen,Inaktivera app,Inaktivera app,Disabilita app,Disabilita app,Вимкнути додаток,Вимкнути додаток,Отключить приложение?,Отключить приложение?,앱 비활성화,앱 비활성화,Uygulamayı devre dışı bırak,Uygulamayı devre dışı bırak,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Full Translation,public/locales/{code}/translation.json,Full Translation,Full translation,Full translation,Traduction complète,Traduction complète,Vollständige Übersetzung,Vollständige Übersetzung,Traducción completa,Traducción completa,全文翻訳,完全翻訳,完整翻譯,完整翻譯,全量翻译,全量翻译,Tradução completa,Tradução completa,Volledige vertaling,Volledige vertaling,Fullständig översättning,Fullständig översättning,Traduzione completa,Traduzione completa,Повний переклад,Повний переклад,(полный перевод),(полный перевод),전체 번역,전체 번역,Tam çeviri,Tam çeviri,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Fuzzy Replacement,public/locales/{code}/translation.json,Fuzzy Replacement,Fuzzy replacement,Fuzzy replacement,Remplacement approximatif,Remplacement approximatif,Unscharfe Ersetzung,Unscharfe Ersetzung,Reemplazo difuso,Reemplazo aproximado,あいまい置換,あいまい置換,模糊替換,模糊替換,模糊替换,模糊替换,Substituição difusa,Substituição difusa,Vage vervanging,Vage vervanging,Fuzzy-ersättning,Fuzzy-ersättning,Sostituzione fuzzy,Sostituzione fuzzy,Нечітка заміна,Нечітка заміна,Нечеткая замена,Нечеткая замена,퍼지 교체,퍼지 교체,Bulanık değiştirme,Bulanık değiştirme,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Gateway Timeout,public/locales/{code}/translation.json,Gateway Timeout,Gateway timeout,Gateway timeout,Délai d'attente de la passerelle dépassé,Délai d’attente de la passerelle dépassé,Gateway-Timeout,Gateway Timeout,Tiempo de espera de la puerta de enlace agotado,Tiempo de espera de la puerta de enlace agotado,ゲートウェイタイムアウト,Gateway Timeout,網關逾時,網關逾時,网关超时,网关超时,Tempo limite do gateway,Tempo limite do gateway,Gateway-time-out,Gateway-time-out,Gateway-timeout,Gateway-timeout,Timeout del gateway,Timeout del gateway,Тайм-аут шлюзу,Тайм-аут шлюзу,Время Ожидания Шлюза,Время Ожидания Шлюза,게이트웨이 시간 초과,게이트웨이 시간 초과,Ağ geçidi zaman aşımı,Ağ geçidi zaman aşımı,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Google Translation,public/locales/{code}/translation.json,Google Translate,Google translate,Google translate,Google Traduction,Google Translate,Google Übersetzer,Google Translate,Google Traductor,Google Translate,Google 翻訳,Google Translate,Google翻譯,Google翻譯,Google 翻译,Google 翻译,Google Tradutor,Google Tradutor,Google Vertalen,Google Vertalen,Google Översätt,Google Översätt,Google Traduttore,Google Traduttore,Google Переклад,Google Переклад,Google AdSense,Google AdSense,구글 번역,구글 번역,Google Çeviri,Google Çeviri,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Home Appliances,public/locales/{code}/translation.json,Home Appliances,Home appliances,Home appliances,Électroménager,Électroménager,Haushaltsgeräte,Haushaltsgeräte,Electrodomésticos,Electrodomésticos,家電,家電製品,家用電器,家用電器,家用电器,家用电器,Eletrodomésticos,Eletrodomésticos,Huishoudelijke apparaten,Huishoudelijke apparaten,Hushållsapparater,Hushållsapparater,Elettrodomestici,Elettrodomestici,Побутова техніка,Побутова техніка,Бытовая техника,Бытовая техника,가전제품,가전제품,Ev aletleri,Ev aletleri,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Home Goods & Daily Essentials,public/locales/{code}/translation.json,Home Goods & Daily Essentials,Home goods & daily essentials,Home goods & daily essentials,Articles ménagers et produits du quotidien,Articles pour la maison et produits essentiels du quotidien,Haushaltswaren & tägliche Essentials,Haushaltswaren & Dinge des täglichen Bedarfs,Artículos para el hogar y productos de uso diario,Artículos para el hogar y productos esenciales diarios,生活用品・日用品,家庭用品・日用品,家居用品和日常必需品,家居用品和日常必需品,家居用品,家居用品,Artigos para o lar e produtos do dia a dia,Artigos para o lar e produtos do dia a dia,Huishoudelijke artikelen en dagelijkse benodigdheden,Huishoudelijke artikelen en dagelijkse benodigdheden,Hushållsvaror och dagliga nödvändigheter,Hushållsvaror och dagliga nödvändigheter,Articoli per la casa e prodotti quotidiani,Articoli per la casa e prodotti quotidiani,Товари для дому та щоденні потреби,Товари для дому та щоденні потреби,Товары для дома и предметы первой необходимости,Товары для дома и предметы первой необходимости,가정용품 및 생활필수품,가정용품 및 생활필수품,Ev eşyaları ve günlük ihtiyaçlar,Ev eşyaları ve günlük ihtiyaçlar,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Image & Alt Text Translation,public/locales/{code}/translation.json,Image & Alt Text Translation,Image & alt text translation,Image & alt text translation,Traduction d'images et de textes alternatifs,Traduction des images et du texte alternatif,Bild- und Alternativtextübersetzung,Übersetzung von Bildern & Alt-Texten,Traducción de imágenes y texto alternativo,Traducción de imágenes y texto alternativo,画像と代替テキストの翻訳,画像・代替テキスト翻訳,圖片和替代文字翻譯,圖片和替代文字翻譯,图片和替代文本翻译,图片和替代文本翻译,Tradução de imagens e textos alternativos,Tradução de imagens e textos alternativos,Vertaling van afbeeldingen en alternatieve tekst,Vertaling van afbeeldingen en alternatieve tekst,Översättning av bilder och alternativtext,Översättning av bilder och alternativtext,Traduzione di immagini e testo alternativo,Traduzione di immagini e testo alternativo,Переклад зображень та альтернативного тексту,Переклад зображень та альтернативного тексту,Перевод изображений и альтернативного текста,Перевод изображений и альтернативного текста,이미지 및 대체 텍스트 번역,이미지 및 대체 텍스트 번역,Resim ve Alternatif Metin Çevirisi,Resim ve Alternatif Metin Çevirisi,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Internal Server Error,public/locales/{code}/translation.json,Internal Server Error,Internal server error,Internal server error,Erreur interne du serveur,Erreur interne du serveur,Interner Serverfehler,Interner Serverfehler,Error interno del servidor,Error interno del servidor,内部サーバーエラー,内部サーバーエラー,內部伺服器錯誤,內部伺服器錯誤,服务器内部错误,服务器内部错误,Erro interno do servidor,Erro interno do servidor,Interne serverfout,Interne serverfout,Internt serverfel,Internt serverfel,Errore interno del server,Errore interno del server,Внутрішня помилка сервера,Внутрішня помилка сервера,Внутренняя ошибка сервера,Внутренняя ошибка сервера,내부 서버 오류,내부 서버 오류,Dahili sunucu hatası,Dahili sunucu hatası,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Last 30 Days,public/locales/{code}/translation.json,Last 30 Days,Last 30 days,Last 30 days,Les 30 derniers jours,30 derniers jours,Letzte 30 Tage,Letzte 30 Tage,Últimos 30 días,Últimos 30 días,過去30日間,過去30日間,過去 30 天,過去 30 天,过去 30 天,过去 30 天,Últimos 30 dias,Últimos 30 dias,Laatste 30 dagen,Laatste 30 dagen,Senaste 30 dagarna,Senaste 30 dagarna,Ultimi 30 giorni,Ultimi 30 giorni,Останні 30 днів,Останні 30 днів,Последние 30 дней,Последние 30 дней,지난 30일,지난 30일,Son 30 Gün,Son 30 Gün,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,title-case,Last 7 Days,public/locales/{code}/translation.json,Last 7 Days,Last 7 days,Last 7 days,Les 7 derniers jours,7 derniers jours,Letzte 7 Tage,Letzte 7 Tage,Últimos 7 días,Últimos 7 días,過去7日間,過去7日間,過去 7 天,過去 7 天,过去 7 天,过去 7 天,Últimos 7 dias,Últimos 7 dias,Laatste 7 dagen,Laatste 7 dagen,Senaste 7 dagarna,Senaste 7 dagarna,Ultimi 7 giorni,Ultimi 7 giorni,Останні 7 днів,Останні 7 днів,Последние 7 дней,Последние 7 дней,지난 7일,지난 7일,Son 7 Gün,Son 7 Gün,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P2,other,no,needs-rewrite|title-case,Manage Languages,public/locales/{code}/translation.json,Manage Languages,Manage languages,Manage languages,Gérer les langues,Gérer les langues,Sprachen verwalten,Sprachen verwalten,Administrar idiomas,Gestionar idiomas,言語を管理する,言語を管理,管理語言,管理語言,管理语言,管理语言,Gerenciar idiomas,Gerenciar idiomas,Talen beheren,Talen beheren,Hantera språk,Hantera språk,Gestisci le lingue,Gestisci le lingue,Керування мовами,Керування мовами,Управление языками,Управление языками,언어 관리,언어 관리,Dilleri Yönet,Dilleri Yönet,Not referenced by t() in app/; skip unless you still see it in UI
